# Zenith RA (deg), Zenith Dec (deg), Time (Julian Date)
125.47718,38.50617,2459945.79167
203.52017,38.55253,2459946.00750
359.30849,38.30173,2459946.43917
233.12779,38.51218,2459947.08667
184.70005,38.56233,2459947.95000
214.31609,38.54123,2459949.02917
321.80277,38.33117,2459950.32417
147.06162,38.54052,2459951.83500
50.34390,38.34717,2459953.56167
31.58593,38.31986,2459955.50417
90.65884,38.43126,2459957.66250
227.88378,38.52223,2459960.03667
82.65328,38.41301,2459962.62667
15.60040,38.30620,2459965.43250
26.35989,38.31442,2459968.45417
114.99460,38.48474,2459971.69167
281.80326,38.41006,2459975.14500
166.18270,38.55849,2459978.81417
128.55597,38.51101,2459982.69917
168.95806,38.55984,2459986.80000
287.34220,38.39893,2459991.11667
123.31488,38.50073,2459995.64917
37.42928,38.32781,2460000.39750
29.43519,38.31860,2460005.36167
99.28156,38.44946,2460010.54167
247.29494,38.48799,2460015.93750
112.83667,38.47879,2460021.54917
56.49769,38.35866,2460027.37667
78.03719,38.40220,2460033.42000
177.59101,38.56070,2460039.67917
355.00136,38.30719,2460046.15417
250.37012,38.48063,2460052.84500
223.54948,38.52824,2460059.75167
274.70454,38.42717,2460066.87417
43.57711,38.33890,2460074.21250
250.67442,38.47806,2460081.76667
175.43125,38.55803,2460089.53667
178.20766,38.55824,2460097.52250
258.99136,38.45868,2460105.72417
57.41460,38.36252,2460114.14167
294.09119,38.38153,2460122.77500
248.51493,38.47882,2460131.62417
280.85458,38.40788,2460140.68917
30.95552,38.32165,2460149.97000
219.23155,38.52970,2460159.46667
125.16096,38.50501,2460169.17917
109.13220,38.47345,2460179.10750
132.38393,38.51851,2459952.79167
210.43048,38.54612,2459953.00750
6.19566,38.30232,2459953.43917
240.03402,38.49984,2459954.08667
191.61145,38.56073,2459954.95000
221.22515,38.53238,2459956.02917
328.69226,38.32245,2459957.32417
153.97139,38.54846,2459958.83500
57.23586,38.35955,2459960.56167
38.47515,38.32865,2459962.50417
97.55876,38.44680,2459964.66250
234.79091,38.51069,2459967.03667
89.55149,38.42839,2459969.62667
22.48820,38.31111,2459972.43250
33.24853,38.32201,2459975.45417
121.89954,38.49857,2459978.69167
288.69956,38.39537,2459982.14500
173.09396,38.56163,2459985.81417
135.46333,38.52272,2459989.69917
175.86949,38.56233,2459993.80000
294.23734,38.38465,2459998.11667
130.22138,38.51330,2460002.64917
44.31920,38.33773,2460007.39750
36.32418,38.32677,2460012.36167
106.18338,38.46462,2460017.54167
254.19845,38.47359,2460022.93750
119.74123,38.49271,2460028.54917
63.39064,38.37187,2460034.37667
84.93448,38.41735,2460040.42000
184.50263,38.56064,2460046.67917
1.88847,38.30639,2460053.15417
257.27302,38.46568,2460059.84500
230.45726,38.51703,2460066.75167
281.60228,38.41157,2460073.87417
50.46788,38.34983,2460081.21250
257.57732,38.46301,2460088.76667
182.34282,38.55843,2460096.53667
185.11927,38.55800,2460104.52250
265.89249,38.44305,2460112.72417
64.30769,38.37569,2460121.14167
300.98507,38.36729,2460129.77500
255.41826,38.46388,2460138.62417
287.75113,38.39253,2460147.68917
37.84442,38.33000,2460156.97000
226.14015,38.51915,2460166.46667
132.06775,38.51729,2460176.17917
116.03593,38.48802,2460186.10750
139.29181,38.52953,2459959.79167
217.33998,38.53803,2459960.00750
13.08298,38.30483,2459960.43917
246.93889,38.48647,2459961.08667
198.52258,38.55720,2459961.95000
228.13327,38.52199,2459963.02917
335.58088,38.31520,2459964.32417
160.88190,38.55488,2459965.83500
64.12896,38.37290,2459967.56167
45.36527,38.33876,2459969.50417
104.46016,38.46201,2459971.66250
241.69674,38.49799,2459974.03667
96.45123,38.44394,2459976.62667
29.37644,38.31770,2459979.43250
40.13797,38.33105,2459982.45417
128.80574,38.51133,2459985.69167
295.59436,38.38120,2459989.14500
180.00550,38.56300,2459992.81417
142.37167,38.53315,2459996.69917
182.78099,38.56284,2460000.80000
